编号,x(m),y(m),海拔(m),As的浓度 (μg/g)
78,17075,12924,25,1.77
79,17962,12823,25,2.53
80,18413,11721,88,3.69
81,19007,11488,84,6.14
82,18738,10921,53,10.99
83,17814,10707,64,6.35
84,18134,10046,41,30.13
85,17198,9810,37,3.89
86,17144,9081,20,2.91
87,18393,9183,26,1.96
88,19767,8810,46,6.98
89,21006,8819,55,2.91
90,21091,9482,43,5.93
91,22846,9149,69,5.93
92,23664,9790,46,7.41
93,22304,10527,40,4.29
94,21418,10721,35,4.69
95,21439,11383,45,5.72
96,20554,11228,43,6.77
97,20101,10774,40,4.49
98,21072,10404,32,3.11
99,20215,9951,31,2.91
100,18993,12371,78,4.29
101,19968,12961,42,7.63
102,21766,12348,67,5.93
103,22674,12173,52,2.34
104,22535,11293,54,2.91
105,25221,5795,27,5.72
106,26453,5577,11,2.34
107,26416,6508,14,6.56
108,27816,5581,11,4.69
109,25361,6423,49,6.35
110,24065,7353,104,5.1
111,25998,7032,51,4.69
112,27177,7771,17,3.5
113,26424,8639,8,4.69
114,26073,8807,38,4.49
115,24631,9422,76,3.3
116,24702,9522,62,2.91
117,25461,9834,68,4.09
118,24813,10799,46,5.72
119,26086,11094,53,4.9
120,26015,12078,57,4.9
121,27700,11609,165,4.09
122,27696,11621,169,5.93
123,27346,13331,100,2.91
124,26591,13715,126,2.72
125,27823,14737,189,2.34
126,27232,14482,150,2.53
127,24580,13319,107,3.89
128,24153,12450,71,2.34
129,22965,13535,78,2.34
130,23198,13523,62,1.96
131,24685,14278,98,2.72
132,28654,8755,23,3.11
133,24003,15286,90,3.5
134,21684,13101,114,2.72
135,22193,12185,79,1.77
136,17079,5894,81,3.5
137,15255,5110,110,2.53
138,15007,5535,70,9.17
139,3518,2571,59,7.41
140,3469,2308,52,5.72
141,3762,2170,30,8.06
142,3927,2110,27,5.72
143,4153,2299,73,8.72
144,3267,793,0,6.77
145,4684,1364,37,6.56
146,5495,1205,9,6.77
147,5664,1653,13,6.98
148,5541,2093,26,6.14
149,5451,2757,92,6.69
150,4020,2990,27,8.0
151,4026,3913,13,6.69
152,5101,4080,13,8.23
153,5438,3994,10,9.35
154,5382,3012,50,8.9
155,5314,2060,40,3.77
156,5503,1127,6,5.41
157,5636,133,17,7.78
158,6605,374,6,5.62
159,7093,1381,45,5.41
160,7100,2449,89,4.58
161,6837,3490,28,6.91
162,7906,3978,22,5.0
163,8045,3052,39,5.62
164,8394,2035,27,6.91
165,8403,1075,6,7.78
166,8079,0,16,6.26
167,9663,1288,3,7.56
168,9469,2286,15,4.79
169,9178,3299,42,2.77
170,9095,3975,26,6.26
171,10225,3821,19,7.34
172,10210,2789,19,4.17
173,10340,1764,7,5.0
174,11557,1581,7,7.56
175,11415,2585,12,5.62
176,11649,3515,27,6.05
177,12734,4015,43,4.79
178,12696,3024,27,23.72
179,12400,2060,13,6.47
180,12591,1063,18,4.17
181,13765,1353,15,5.0
182,13694,2357,33,4.17
183,13855,3345,79,6.26
184,14862,2524,28,5.0
185,14896,1603,4,1.61
186,15387,729,8,4.58
187,15810,2307,8,5.41
188,16032,3061,35,3.57
189,15801,3966,115,2.0
190,15087,3512,69,3.37
191,16872,2798,10,6.47
192,17734,3629,14,3.37
193,16823,4207,67,6.91
194,17008,4775,82,2.38
195,17203,6218,40,7.56
196,17005,7212,33,8.67
197,16947,7487,41,4.79
198,16301,8299,24,5.41
199,17904,8287,25,5.83
200,18303,7385,39,5.62
201,18438,6539,22,4.38
202,18556,5588,15,2.77
203,18954,4874,4,5.41
204,18012,4414,20,5.62
205,19072,8519,36,6.69
206,20282,8590,57,7.56
207,21475,8540,85,2.77
208,21450,7555,58,1.61
209,20261,7586,29,5.62
210,19569,7348,70,2.97
211,19411,6934,28,4.58
212,19501,6091,9,5.2
213,20582,6548,13,3.17
214,19909,5300,3,5.0
215,21018,5764,9,7.56
216,22176,5492,25,5.2
217,23359,5325,28,6.05
218,23238,6502,169,2.77
219,22624,4818,27,2.38
220,21703,6591,65,5.2
221,5006,8846,6,8.67
222,5734,9659,3,5.41
223,6395,10443,4,7.12
224,7405,10981,6,4.58
225,8446,11200,4,8.23
226,7612,11938,2,4.58
227,7912,12840,1,6.05
228,8866,13143,3,8.23
229,9296,13102,9,4.17
230,9475,12000,9,3.97
231,9212,11305,5,10.74
232,8629,12086,1,3.77
233,7776,10613,9,10.27
234,8622,10638,4,5.2
235,9237,9872,28,6.47
236,8307,9726,14,6.47
237,7106,9467,44,8.9
238,6423,8831,40,3.37
239,7458,8920,36,6.69
240,8904,8868,24,4.17
241,10547,9591,32,8.23
242,10398,10360,0,4.38
243,10395,11203,8,5.2
244,11529,11243,16,5.2
245,11563,10298,12,5.41
246,11646,9381,14,5.0
247,12641,9560,11,9.58
248,14000,8970,14,3.17
249,14207,9980,14,3.77
250,14065,10987,25,9.13
251,12734,10344,32,7.34
252,12727,7691,32,5.62
253,14173,11941,14,4.79
254,15467,12080,23,5.2
255,15140,11101,30,3.37
256,15198,10100,28,7.34
257,15248,9106,16,3.57
258,16428,9069,20,4.38
259,16289,10072,43,5.41
260,16267,11058,60,4.38
261,16440,12068,47,5.62
262,16440,13232,24,6.05
263,15412,12982,21,6.26
264,14269,12877,27,5.2
265,13277,13204,19,6.91
266,13175,12238,31,4.58
267,12153,12336,16,8.67
268,11958,13313,13,6.47
269,10800,13282,9,7.12
270,10022,12204,5,3.77
271,9333,14631,4,5.41
272,9277,16148,18,10.97
273,11121,16432,23,9.81
274,10856,14727,41,8.23
275,12644,14943,43,5.41
276,12625,16259,66,2.77
277,9036,17538,3,7.78
278,10599,17980,11,6.47
279,12632,17949,33,5.62
280,14405,18032,152,3.77
281,14074,16516,124,3.57
282,14262,15129,66,4.38
283,14624,14004,25,6.91
284,16629,14481,41,7.12
285,18470,14411,59,4.38
286,20591,13549,42,3.97
287,20983,15862,93,8.0
288,20177,17642,276,3.57
289,19041,15769,90,3.37
290,18906,16346,173,3.17
291,18467,17001,308,2.97
292,17414,15476,97,7.12
293,15748,15728,56,5.62
294,15517,17034,77,5.83
295,16607,17365,155,3.97
296,15952,18397,103,3.17
297,22605,14301,93,2.77
298,23146,15382,153,3.17
299,22046,17634,171,2.97
300,23785,17643,194,3.17
301,25981,18051,173,1.8
302,27380,18202,136,3.17
303,25021,16290,104,3.77
304,23325,16701,105,4.79
305,26852,16114,225,3.57
306,17981,18449,93,6.47
307,14482,12692,20,7.34
308,14318,13569,30,8.23
309,10352,17133,31,10.74
310,9095,16414,29,11.68
311,10510,15314,19,7.34
312,13954,5615,61,6.05
313,10142,1662,8,5.41
314,17765,3561,8,6.26
315,6924,5696,7,6.47
316,4678,3765,40,6.47
317,6182,2005,25,4.79
318,5985,2567,44,7.56
319,7653,1952,48,9.35
